Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,2010,3,Alicante/Alacant,50368,37.0,0.07345933926302414
0-4 años,Hombres,2010,4,Almería,21419,23.0,0.10738129697931743
0-4 años,Hombres,2010,5,Ávila,3398,0.0,0.0
0-4 años,Hombres,2010,6,Badajoz,17850,13.0,0.07282913165266107
0-4 años,Hombres,2010,7,"Balears, Illes",30898,26.0,0.08414784128422552
0-4 años,Hombres,2010,8,Barcelona,159470,120.0,0.07524926318429799
0-4 años,Hombres,2010,9,Burgos,8543,9.0,0.10534940887276133
0-4 años,Hombres,2010,10,Cáceres,8752,4.0,0.04570383912248629
0-4 años,Hombres,2010,11,Cádiz,37355,31.0,0.08298755186721991
0-4 años,Hombres,2010,12,Castellón/Castelló,17012,9.0,0.05290383258876088
0-4 años,Hombres,2010,13,Ciudad Real,13375,8.0,0.059813084112149535
0-4 años,Hombres,2010,14,Córdoba,21844,23.0,0.10529207104925838
0-4 años,Hombres,2010,15,"Coruña, A",23961,23.0,0.09598931597178749
0-4 años,Hombres,2010,16,Cuenca,4278,3.0,0.07012622720897616
0-4 años,Hombres,2010,17,Girona,22885,13.0,0.05680576797028621
0-4 años,Hombres,2010,18,Granada,25121,26.0,0.103499064527686
0-4 años,Hombres,2010,19,Guadalajara,7904,3.0,0.03795546558704453
0-4 años,Hombres,2010,20,Gipuzkoa,18566,7.0,0.03770332866530217
0-4 años,Hombres,2010,21,Huelva,14813,6.0,0.040504961857827586
0-4 años,Hombres,2010,22,Huesca,5415,2.0,0.036934441366574325
0-4 años,Hombres,2010,23,Jaén,17437,12.0,0.06881917761082755
0-4 años,Hombres,2010,24,León,9018,4.0,0.04435573297848747
0-4 años,Hombres,2010,25,Lleida,12456,4.0,0.03211303789338471
0-4 años,Hombres,2010,26,"Rioja, La",8611,3.0,0.034839159214957616
0-4 años,Hombres,2010,27,Lugo,5657,4.0,0.07070885628424961
0-4 años,Hombres,2010,28,Madrid,187837,189.0,0.10061915384083009
0-4 años,Hombres,2010,29,Málaga,46899,57.0,0.12153777266039788
0-4 años,Hombres,2010,30,Murcia,47407,32.0,0.06750058008311009
0-4 años,Hombres,2010,31,Navarra,17570,10.0,0.056915196357427436
0-4 años,Hombres,2010,32,Ourense,5420,3.0,0.055350553505535055
0-4 años,Hombres,2010,33,Asturias,20294,15.0,0.0739134719621563
0-4 años,Hombres,2010,34,Palencia,3135,1.0,0.03189792663476874
0-4 años,Hombres,2010,35,"Palmas, Las",28138,18.0,0.06397043144502096
0-4 años,Hombres,2010,36,Pontevedra,22170,10.0,0.04510599909788002
0-4 años,Hombres,2010,37,Salamanca,7177,4.0,0.05573359342343597
0-4 años,Hombres,2010,38,Santa Cruz de Tenerife,23041,20.0,0.0868017881168352
0-4 años,Hombres,2010,39,Cantabria,14680,10.0,0.06811989100817438
0-4 años,Hombres,2010,40,Segovia,3738,0.0,0.0
0-4 años,Hombres,2010,41,Sevilla,60752,69.0,0.11357650776929154
0-4 años,Hombres,2010,42,Soria,1984,0.0,0.0
0-4 años,Hombres,2010,43,Tarragona,24936,13.0,0.05213346166185435
0-4 años,Hombres,2010,44,Teruel,3144,1.0,0.031806615776081425
0-4 años,Hombres,2010,45,Toledo,21019,14.0,0.06660640372995862
0-4 años,Hombres,2010,46,Valencia/València,71427,65.0,0.09100200204404496
0-4 años,Hombres,2010,47,Valladolid,12677,5.0,0.03944150824327522
0-4 años,Hombres,2010,48,Bizkaia,27088,24.0,0.08860011813349085
0-4 años,Hombres,2010,49,Zamora,2930,1.0,0.034129692832764506
0-4 años,Hombres,2010,50,Zaragoza,24923,26.0,0.10432130963367171
0-4 años,Hombres,2010,51,Ceuta,3062,3.0,0.09797517962116264
0-4 años,Hombres,2010,52,Melilla,3016,6.0,0.1989389920424403
0-4 años,Hombres,2011,1,Araba/Álava,8415,2.0,0.023767082590612002
0-4 años,Hombres,2011,2,Albacete,10515,6.0,0.05706134094151213
0-4 años,Hombres,2011,3,Alicante/Alacant,49728,23.0,0.046251608751608754
0-4 años,Hombres,2011,4,Almería,21641,17.0,0.07855459544383347
0-4 años,Hombres,2011,5,Ávila,3520,0.0,0.0
0-4 años,Hombres,2011,6,Badajoz,18080,14.0,0.07743362831858407
0-4 años,Hombres,2011,7,"Balears, Illes",30810,26.0,0.08438818565400844
0-4 años,Hombres,2011,8,Barcelona,160193,142.0,0.08864307429163572
0-4 años,Hombres,2011,9,Burgos,8683,8.0,0.09213405505009789
0-4 años,Hombres,2011,10,Cáceres,8682,5.0,0.05759041695461876
0-4 años,Hombres,2011,11,Cádiz,36914,27.0,0.07314298098282494
0-4 años,Hombres,2011,12,Castellón/Castelló,16997,12.0,0.07060069424016002
0-4 años,Hombres,2011,13,Ciudad Real,13389,10.0,0.07468817686160281
0-4 años,Hombres,2011,14,Córdoba,21561,23.0,0.10667408747275173
0-4 años,Hombres,2011,15,"Coruña, A",24273,22.0,0.09063568574135872
