Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,1999,33,Asturias,14749,12.0,0.0813614482337785
0-4 años,Hombres,1999,34,Palencia,2990,4.0,0.1337792642140468
0-4 años,Hombres,1999,35,Las Palmas,21668,22.0,0.1015322134022521
0-4 años,Hombres,1999,36,Pontevedra,16837,9.0,0.0534537031537684
0-4 años,Hombres,1999,37,Salamanca,6003,8.0,0.1332666999833416
0-4 años,Hombres,1999,38,Santa Cruz,13447,21.0,0.1561686621551275
0-4 años,Hombres,1999,39,Cantabria,9193,8.0,0.0870227346894376
0-4 años,Hombres,1999,40,Segovia,2974,1.0,0.0336247478143913
0-4 años,Hombres,1999,41,Sevilla,44351,83.0,0.187143469143875
0-4 años,Hombres,1999,42,Soria,1584,3.0,0.1893939393939394
0-4 años,Hombres,1999,43,Tarragona,13021,21.0,0.1612779356424237
0-4 años,Hombres,1999,44,Teruel,2558,1.0,0.0390930414386239
0-4 años,Hombres,1999,45,Toledo,12372,7.0,0.0565793727772389
0-4 años,Hombres,1999,46,Valencia,46676,59.0,0.1264032907704173
0-4 años,Hombres,1999,47,Valladolid,8694,8.0,0.0920174833218311
0-4 años,Hombres,1999,48,Bizkaia,20236,34.0,0.1680173947420438
0-4 años,Hombres,1999,49,Zamora,3168,4.0,0.1262626262626262
0-4 años,Hombres,1999,50,Zaragoza,15755,33.0,0.2094573151380514
0-4 años,Hombres,1999,51,Ceuta,2518,4.0,0.1588562351072279
0-4 años,Hombres,1999,52,Melilla,1680,2.0,0.119047619047619
0-4 años,Hombres,2000,1,Álava,5528,1.0,0.0180897250361794
0-4 años,Hombres,2000,2,Albacete,9494,7.0,0.0737307773330524
0-4 años,Hombres,2000,3,Alicante,32762,38.0,0.1159880349185031
0-4 años,Hombres,2000,4,Almería,13557,14.0,0.1032676845909862
0-4 años,Hombres,2000,5,Ávila,2078,1.0,0.0481231953801732
0-4 años,Hombres,2000,6,Badajoz,14903,14.0,0.0939408172851103
0-4 años,Hombres,2000,7,Baleares,19826,30.0,0.1513164531423383
0-4 años,Hombres,2000,8,Barcelona,104260,132.0,0.1266065605217725
0-4 años,Hombres,2000,9,Burgos,5845,8.0,0.136869118905047
0-4 años,Hombres,2000,10,Cáceres,6303,11.0,0.1745200698080279
0-4 años,Hombres,2000,11,Cádiz,29710,34.0,0.1144395826321104
0-4 años,Hombres,2000,12,Castellón,10615,11.0,0.1036269430051813
0-4 años,Hombres,2000,13,Ciudad Real,10753,6.0,0.0557983818469264
0-4 años,Hombres,2000,14,Córdoba,19351,36.0,0.186036897317968
0-4 años,Hombres,2000,15,A Coruña,18294,27.0,0.1475893735651033
0-4 años,Hombres,2000,16,Cuenca,3987,1.0,0.0250815149235013
0-4 años,Hombres,2000,17,Girona,13436,9.0,0.0669842214944924
0-4 años,Hombres,2000,18,Granada,16144,45.0,0.2787413280475718
0-4 años,Hombres,2000,19,Guadalajara,3504,1.0,0.0285388127853881
0-4 años,Hombres,2000,20,Gipuzkoa,15042,11.0,0.0731285733280148
0-4 años,Hombres,2000,21,Huelva,10530,6.0,0.0569800569800569
0-4 años,Hombres,2000,22,Huesca,3889,1.0,0.0257135510413988
0-4 años,Hombres,2000,23,Jaén,15582,23.0,0.1476062122962392
0-4 años,Hombres,2000,24,León,7205,5.0,0.0693962526023594
0-4 años,Hombres,2000,25,Lleida,7244,4.0,0.0552181115405853
0-4 años,Hombres,2000,26,La Rioja,4991,7.0,0.1402524544179523
0-4 años,Hombres,2000,27,Lugo,4879,3.0,0.0614880098380815
0-4 años,Hombres,2000,28,Madrid,110290,201.0,0.1822468038806782
0-4 años,Hombres,2000,29,Málaga,27279,55.0,0.2016202939990469
0-4 años,Hombres,2000,30,Murcia,31925,68.0,0.2129992169146437
0-4 años,Hombres,2000,31,Navarra,11721,16.0,0.1365071239655319
0-4 años,Hombres,2000,32,Ourense,4903,5.0,0.1019783805833163
0-4 años,Hombres,2000,33,Asturias,15146,20.0,0.1320480654958405
0-4 años,Hombres,2000,34,Palencia,2869,3.0,0.1045660508888114
0-4 años,Hombres,2000,35,Las Palmas,22157,35.0,0.1579636232341923
0-4 años,Hombres,2000,36,Pontevedra,16499,15.0,0.0909146008849021
0-4 años,Hombres,2000,37,Salamanca,5864,5.0,0.0852660300136425
0-4 años,Hombres,2000,38,Santa Cruz,15195,30.0,0.1974333662388943
0-4 años,Hombres,2000,39,Cantabria,9073,5.0,0.0551085638708255
0-4 años,Hombres,2000,40,Segovia,2793,3.0,0.1074113856068743
0-4 años,Hombres,2000,41,Sevilla,45884,59.0,0.1285851277133641
0-4 años,Hombres,2000,42,Soria,1469,2.0,0.136147038801906
0-4 años,Hombres,2000,43,Tarragona,13254,15.0,0.1131733816206428
0-4 años,Hombres,2000,44,Teruel,2420,0.0,0.0
0-4 años,Hombres,2000,45,Toledo,12144,17.0,0.1399868247694334
0-4 años,Hombres,2000,46,Valencia,47027,59.0,0.1254598422183001
0-4 años,Hombres,2000,47,Valladolid,8539,7.0,0.0819768122730999
0-4 años,Hombres,2000,48,Bizkaia,20235,24.0,0.1186063750926612
0-4 años,Hombres,2000,49,Zamora,3059,1.0,0.03269042170644
0-4 años,Hombres,2000,50,Zaragoza,16828,37.0,0.2198716425005942
0-4 años,Hombres,2000,51,Ceuta,2440,5.0,0.2049180327868852
0-4 años,Hombres,2000,52,Melilla,1891,6.0,0.3172924378635642
0-4 años,Hombres,2001,1,Álava,5840,5.0,0.0856164383561643
0-4 años,Hombres,2001,2,Albacete,9259,15.0,0.1620045361270115
0-4 años,Hombres,2001,3,Alicante,33274,38.0,0.1142032818416781
0-4 años,Hombres,2001,4,Almería,13964,21.0,0.1503867086794614
0-4 años,Hombres,2001,5,Ávila,1703,1.0,0.0587199060481503
0-4 años,Hombres,2001,6,Badajoz,15805,16.0,0.1012337867763366
0-4 años,Hombres,2001,7,Baleares,20720,30.0,0.1447876447876447
0-4 años,Hombres,2001,8,Barcelona,110751,120.0,0.1083511661294254
0-4 años,Hombres,2001,9,Burgos,6425,2.0,0.0311284046692607
0-4 años,Hombres,2001,10,Cáceres,6532,4.0,0.0612369871402327
0-4 años,Hombres,2001,11,Cádiz,29778,25.0,0.083954597353751
0-4 años,Hombres,2001,12,Castellón,10780,11.0,0.1020408163265306
0-4 años,Hombres,2001,13,Ciudad Real,10744,4.0,0.0372300819061801
0-4 años,Hombres,2001,14,Córdoba,19192,32.0,0.1667361400583576
0-4 años,Hombres,2001,15,A Coruña,17561,25.0,0.1423609133876203
0-4 años,Hombres,2001,16,Cuenca,3933,3.0,0.07627765064836
0-4 años,Hombres,2001,17,Girona,13923,13.0,0.0933706816059757
0-4 años,Hombres,2001,18,Granada,15372,26.0,0.1691386937288576
0-4 años,Hombres,2001,19,Guadalajara,3808,2.0,0.0525210084033613
0-4 años,Hombres,2001,20,Gipuzkoa,15486,15.0,0.0968616815187911
0-4 años,Hombres,2001,21,Huelva,10008,3.0,0.0299760191846522
0-4 años,Hombres,2001,22,Huesca,3776,4.0,0.1059322033898305
0-4 años,Hombres,2001,23,Jaén,15320,11.0,0.0718015665796344
0-4 años,Hombres,2001,24,León,6873,9.0,0.1309471846355303
0-4 años,Hombres,2001,25,Lleida,7687,4.0,0.0520359047742942
0-4 años,Hombres,2001,26,La Rioja,5163,10.0,0.1936858415649816
0-4 años,Hombres,2001,27,Lugo,4802,3.0,0.0624739691795085
0-4 años,Hombres,2001,28,Madrid,115385,208.0,0.1802660657797807
0-4 años,Hombres,2001,29,Málaga,27609,61.0,0.2209424463037415
0-4 años,Hombres,2001,30,Murcia,33004,54.0,0.1636165313295358
0-4 años,Hombres,2001,31,Navarra,12338,8.0,0.0648403306856865
0-4 años,Hombres,2001,32,Ourense,4809,2.0,0.0415886878768974
0-4 años,Hombres,2001,33,Asturias,15196,24.0,0.1579362990260595
0-4 años,Hombres,2001,34,Palencia,2845,1.0,0.0351493848857645
0-4 años,Hombres,2001,35,Las Palmas,22951,41.0,0.1786414535314365
0-4 años,Hombres,2001,36,Pontevedra,16713,15.0,0.0897504936277149
0-4 años,Hombres,2001,37,Salamanca,5773,5.0,0.0866100814134765
0-4 años,Hombres,2001,38,Santa Cruz,16488,32.0,0.1940805434255215
0-4 años,Hombres,2001,39,Cantabria,9791,9.0,0.0919211520784393
0-4 años,Hombres,2001,40,Segovia,2667,1.0,0.0374953130858642
0-4 años,Hombres,2001,41,Sevilla,46613,67.0,0.1437367258061056
0-4 años,Hombres,2001,42,Soria,1485,0.0,0.0
0-4 años,Hombres,2001,43,Tarragona,13869,18.0,0.1297858533419857
0-4 años,Hombres,2001,44,Teruel,2434,3.0,0.1232539030402629
0-4 años,Hombres,2001,45,Toledo,11817,10.0,0.0846238470000846
0-4 años,Hombres,2001,46,Valencia,47198,55.0,0.1165303614559938
0-4 años,Hombres,2001,47,Valladolid,8581,9.0,0.1048828807831255
0-4 años,Hombres,2001,48,Bizkaia,21357,29.0,0.1357868614505782
0-4 años,Hombres,2001,49,Zamora,2960,2.0,0.0675675675675675
0-4 años,Hombres,2001,50,Zaragoza,16925,26.0,0.1536189069423929
0-4 años,Hombres,2001,51,Ceuta,2410,1.0,0.0414937759336099
0-4 años,Hombres,2001,52,Melilla,2485,7.0,0.2816901408450704
0-4 años,Hombres,2002,1,Álava,5997,2.0,0.033350008337502
0-4 años,Hombres,2002,2,Albacete,9184,11.0,0.119773519163763
0-4 años,Hombres,2002,3,Alicante,36396,32.0,0.0879217496428178
0-4 años,Hombres,2002,4,Almería,14904,31.0,0.2079978529253891
0-4 años,Hombres,2002,5,Ávila,2517,3.0,0.1191895113230035
0-4 años,Hombres,2002,6,Badajoz,15748,15.0,0.095250190500381
0-4 años,Hombres,2002,7,Baleares,22392,26.0,0.1161128974633797
0-4 años,Hombres,2002,8,Barcelona,117939,142.0,0.1204012243617463
0-4 años,Hombres,2002,9,Burgos,6667,9.0,0.1349932503374831
0-4 años,Hombres,2002,10,Cáceres,6900,5.0,0.072463768115942
0-4 años,Hombres,2002,11,Cádiz,29853,31.0,0.1038421599169262
0-4 años,Hombres,2002,12,Castellón,11461,10.0,0.0872524212546898
0-4 años,Hombres,2002,13,Ciudad Real,11278,9.0,0.0798013832239758
0-4 años,Hombres,2002,14,Córdoba,19213,27.0,0.1405298495810128
0-4 años,Hombres,2002,15,A Coruña,18956,31.0,0.163536611099388
0-4 años,Hombres,2002,16,Cuenca,3842,2.0,0.0520562207183758
0-4 años,Hombres,2002,17,Girona,14639,20.0,0.1366213539176173
0-4 años,Hombres,2002,18,Granada,15627,27.0,0.1727778844307928
0-4 años,Hombres,2002,19,Guadalajara,4052,2.0,0.0493583415597235
0-4 años,Hombres,2002,20,Gipuzkoa,15750,14.0,0.0888888888888888
0-4 años,Hombres,2002,21,Huelva,10313,6.0,0.0581789973819451
0-4 años,Hombres,2002,22,Huesca,3949,2.0,0.0506457330969865
0-4 años,Hombres,2002,23,Jaén,15440,12.0,0.077720207253886
0-4 años,Hombres,2002,24,León,6807,3.0,0.0440722785368003
0-4 años,Hombres,2002,25,Lleida,7926,2.0,0.0252334090335604
0-4 años,Hombres,2002,26,La Rioja,5700,4.0,0.0701754385964912
0-4 años,Hombres,2002,27,Lugo,4764,4.0,0.0839630562552476
0-4 años,Hombres,2002,28,Madrid,119551,205.0,0.1714749353832255
0-4 años,Hombres,2002,29,Málaga,29081,73.0,0.2510230047109797
0-4 años,Hombres,2002,30,Murcia,34934,71.0,0.2032403961756455
0-4 años,Hombres,2002,31,Navarra,13198,13.0,0.0984997726928322
0-4 años,Hombres,2002,32,Ourense,4722,2.0,0.0423549343498517
0-4 años,Hombres,2002,33,Asturias,15849,14.0,0.0883336488106505
0-4 años,Hombres,2002,34,Palencia,2820,4.0,0.1418439716312056
0-4 años,Hombres,2002,35,Las Palmas,24671,34.0,0.1378136273357383
0-4 años,Hombres,2002,36,Pontevedra,17210,17.0,0.0987797791981406
0-4 años,Hombres,2002,37,Salamanca,5593,10.0,0.1787949222242088
0-4 años,Hombres,2002,38,Santa Cruz,19490,22.0,0.1128783991790662
0-4 años,Hombres,2002,39,Cantabria,10111,9.0,0.0890119671644743
0-4 años,Hombres,2002,40,Segovia,2681,0.0,0.0
0-4 años,Hombres,2002,41,Sevilla,47373,81.0,0.1709834715977455
