Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Mujeres,2011,22,Huesca,5076,0.0,0.0
0-4 años,Mujeres,2011,23,Jaén,16167,10.0,0.0618543947547473
0-4 años,Mujeres,2011,24,León,8548,3.0,0.0350959288722508
0-4 años,Mujeres,2011,25,Lleida,11830,1.0,0.0084530853761623
0-4 años,Mujeres,2011,26,La Rioja,8150,5.0,0.0613496932515337
0-4 años,Mujeres,2011,27,Lugo,5459,1.0,0.0183183733284484
0-4 años,Mujeres,2011,28,Madrid,179340,138.0,0.0769488123118099
0-4 años,Mujeres,2011,29,Málaga,43584,36.0,0.0825991189427312
0-4 años,Mujeres,2011,30,Murcia,44698,23.0,0.0514564410040717
0-4 años,Mujeres,2011,31,Navarra,16982,6.0,0.0353315274997055
0-4 años,Mujeres,2011,32,Ourense,5125,1.0,0.0195121951219512
0-4 años,Mujeres,2011,33,Asturias,19588,20.0,0.1021033285685113
0-4 años,Mujeres,2011,34,Palencia,3039,1.0,0.0329055610398157
0-4 años,Mujeres,2011,35,Las Palmas,25964,17.0,0.0654752734555538
0-4 años,Mujeres,2011,36,Pontevedra,20584,8.0,0.0388651379712398
0-4 años,Mujeres,2011,37,Salamanca,6566,4.0,0.0609198903441973
0-4 años,Mujeres,2011,38,Santa Cruz,21870,14.0,0.0640146319158664
0-4 años,Mujeres,2011,39,Cantabria,13473,6.0,0.0445335114673792
0-4 años,Mujeres,2011,40,Segovia,3586,0.0,0.0
0-4 años,Mujeres,2011,41,Sevilla,58026,65.0,0.1120187502154206
0-4 años,Mujeres,2011,42,Soria,1814,1.0,0.0551267916207276
0-4 años,Mujeres,2011,43,Tarragona,22990,8.0,0.0347977381470204
0-4 años,Mujeres,2011,44,Teruel,3009,1.0,0.0332336324360252
0-4 años,Mujeres,2011,45,Toledo,19637,5.0,0.0254621378010897
